1,button-4,button-4,1920
2,button-1,button-1,1868
3,button-3,button-3,1286
4,button-3,button-3,1293
5,button-0,button-0,1765
6,button-5,button-5,1404
7,button-3,button-3,1300
8,button-4,button-4,1359
9,button-2,button-2,909
10,button-4,button-5,1875
11,button-4,button-4,1212
12,button-1,button-1,1191
13,button-5,button-5,1632
14,button-5,button-5,857
15,button-4,button-4,918
16,button-2,button-2,1167
17,button-1,button-1,1300
18,button-5,button-5,1153
19,button-4,button-4,1010
20,button-1,button-1,1433
21,button-5,button-5,1013
22,button-2,button-2,982
23,button-0,button-0,1323
24,button-0,button-0,2541
25,button-5,button-5,1049
26,button-0,button-0,1433
27,button-5,button-5,1011
28,button-0,button-0,1109
29,button-2,button-2,1019
30,button-5,button-5,1098
31,button-3,button-3,1137
32,button-3,button-3,1159
33,button-4,button-4,1078
34,button-2,button-2,1122
35,button-0,button-0,1802
36,button-2,button-2,1233
37,button-4,button-4,1263
38,button-1,button-1,1100
39,button-4,button-4,1418
40,button-1,button-1,1240
41,button-5,button-5,982
42,button-4,button-4,1124
43,button-0,button-0,1227
44,button-5,button-5,1086
45,button-0,button-0,1146
46,button-2,button-2,1078
47,button-0,button-0,1079
48,button-3,button-3,1729
49,button-3,button-3,1168
50,button-0,button-0,1765
51,button-1,button-1,1012
52,button-1,button-1,1426
53,button-2,button-2,1005
54,button-1,button-1,1085
55,button-1,button-1,1307
56,button-2,button-2,968
57,button-2,button-2,1389
58,button-3,button-3,1027
59,button-3,button-3,1224
60,button-3,button-3,900
