1,button-4,button-4,3550
2,button-0,button-0,7439
3,button-1,button-1,2679
4,button-3,button-3,2112
5,button-0,button-0,2132
6,button-5,button-5,2104
7,button-5,button-5,2270
8,button-1,button-1,1910
9,button-1,button-1,1924
10,button-1,button-1,2549
11,button-4,button-4,2409
12,button-4,button-4,2025
13,button-2,button-2,2491
14,button-2,button-2,1650
15,button-5,button-5,1820
16,button-5,button-5,1660
17,button-1,button-1,2170
18,button-5,button-5,2224
19,button-2,button-2,1703
20,button-1,button-1,2200
21,button-5,button-5,2118
22,button-0,button-0,1729
23,button-3,button-3,1650
24,button-3,button-3,2199
25,button-3,button-3,1576
26,button-5,button-5,2440
27,button-3,button-3,1919
28,button-2,button-2,1593
29,button-3,button-3,2182
30,button-1,button-1,1770
31,button-0,button-0,1810
32,button-1,button-1,2382
33,button-1,button-1,1670
34,button-1,button-1,1511
35,button-3,button-3,1427
36,button-2,button-2,1544
37,button-0,button-0,1643
38,button-0,button-0,2649
39,button-3,button-3,2534
40,button-0,button-0,2699
41,button-0,button-0,1948
42,button-5,button-5,2077
43,button-3,button-3,6414
44,button-3,button-3,2117
45,button-0,button-0,1394
46,button-4,button-4,1516
47,button-4,button-4,1664
48,button-4,button-4,1665
49,button-0,button-0,1531
50,button-4,button-4,1339
51,button-5,button-5,1824
52,button-4,button-4,2004
53,button-2,button-2,1747
54,button-4,button-4,1972
55,button-5,button-5,1765
56,button-4,button-4,1831
57,button-2,button-2,2400
58,button-2,button-2,1823
59,button-2,button-2,1798
60,button-2,button-2,2457
