1,button-3,button-3,1872
2,button-3,button-3,2259
3,button-4,button-4,1910
4,button-4,button-4,1809
5,button-2,button-2,1900
6,button-0,button-0,1759
7,button-0,button-0,1498
8,button-5,button-5,1550
9,button-3,button-3,1531
10,button-0,button-0,1620
11,button-0,button-0,1370
12,button-3,button-3,1610
13,button-3,button-3,1435
14,button-3,button-3,1240
15,button-5,button-5,1569
16,button-4,button-4,1440
17,button-0,button-0,1321
18,button-3,button-3,1460
19,button-2,button-2,1404
20,button-3,button-3,1270
21,button-1,button-1,1351
22,button-0,button-0,1440
23,button-3,button-3,1300
24,button-3,button-3,2090
25,button-0,button-0,1321
26,button-2,button-2,1420
27,button-0,button-0,1419
28,button-2,button-2,1390
29,button-4,button-4,1589
30,button-2,button-2,1439
31,button-4,button-4,1619
32,button-4,button-4,1419
33,button-5,button-5,1550
34,button-4,button-4,1540
35,button-5,button-5,1430
36,button-0,button-0,1380
37,button-0,button-0,1330
38,button-5,button-5,1339
39,button-1,button-1,1289
40,button-1,button-1,1211
41,button-5,button-5,1350
42,button-4,button-4,1470
43,button-1,button-1,1340
44,button-2,button-2,1359
45,button-2,button-2,1171
46,button-2,button-2,1140
47,button-1,button-1,1328
48,button-5,button-5,1447
49,button-5,button-5,1674
50,button-1,button-1,1481
51,button-5,button-5,1489
52,button-2,button-2,1385
53,button-1,button-1,1399
54,button-2,button-2,1500
55,button-1,button-1,1249
56,button-5,button-5,1430
57,button-1,button-1,1355
58,button-4,button-4,1380
59,button-4,button-4,2240
60,button-1,button-1,1370
