1,button-3,button-3,1166
2,button-4,button-2,1048
3,button-4,button-4,1656
4,button-4,button-2,1329
5,button-0,button-3,2423
6,button-0,button-3,1100
7,button-5,button-5,1232
8,button-3,button-0,1005
9,button-2,button-0,1660
10,button-5,button-4,1368
11,button-5,button-4,923
12,button-2,button-2,1220
13,button-2,button-2,864
14,button-2,button-0,916
15,button-4,button-2,1752
16,button-0,button-3,1929
17,button-3,button-1,1743
18,button-3,button-1,1242
19,button-4,button-2,1417
20,button-1,button-4,1344
21,button-2,button-0,1176
22,button-0,button-3,1551
23,button-0,button-3,886
24,button-0,button-3,834
25,button-3,button-0,976
26,button-2,button-1,1947
27,button-5,button-5,1204
28,button-1,button-4,1176
29,button-5,button-5,1227
30,button-0,button-2,1285
31,button-4,button-3,1508
32,button-5,button-5,962
33,button-0,button-2,1352
34,button-3,button-0,1174
35,button-2,button-1,1528
36,button-4,button-3,1512
37,button-4,button-3,1094
38,button-3,button-0,1139
39,button-3,button-0,1087
40,button-2,button-1,1648
41,button-1,button-4,1402
42,button-0,button-2,997
43,button-0,button-2,953
44,button-3,button-0,1677
45,button-1,button-4,1584
46,button-5,button-5,1755
47,button-1,button-4,1803
48,button-1,button-4,944
49,button-5,button-5,1574
50,button-2,button-1,1906
51,button-0,button-2,1389
52,button-1,button-5,1246
53,button-3,button-1,1847
54,button-2,button-0,1087
55,button-1,button-5,2591
56,button-3,button-1,1640
57,button-2,button-0,1419
58,button-0,button-1,1547
59,button-5,button-5,1899
60,button-5,button-5,15021
